Weekday,Month,Day,Content / Assessment,material,material_link,ps,ps_link
Tuesday,January,31,<a href='https://ismayc.github.io/moderndiver-book/'>Introduction (Chapters 1 and 2)</a>,-,,-,
Thursday,February,2,Introduction to R on DataCamp,-,,-,
Tuesday,February,7,Review of Introduction to R on DataCamp,DC0: Introduction to R course,https://www.datacamp.com/courses/free-introduction-to-r,PS1,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps1
Thursday,February,9,"<a href='https://ismayc.github.io/moderndiver-book/3-tidy.html'>Tidy data (Chapter 3)</a>, Quiz 1",-,,PS2,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps2
Tuesday,February,14,<a href='https://ismayc.github.io/moderndiver-book/3-tidy.html#normal-forms-of-data'>Joining Data Frames (Sections 3.4-3.5)</a>,DC1: Applying R Basics chapter,https://campus.datacamp.com/courses/effective-data-storytelling-using-the-tidyverse/applying-r-basics?ex=1,-,
Thursday,February,16,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html'>Scatter-plots and Line-graphs (Sections 4.1 to 4.4)</a>,DC2: Tidy Data chapter,https://campus.datacamp.com/courses/effective-data-storytelling-using-the-tidyverse/tidy-data?ex=1,-,
Tuesday,February,21,"<a href='https://ismayc.github.io/moderndiver-book/4-viz.html#histograms'>Histograms, Facets, and Boxplots (Sections 4.5 to 4.7)</a>",DC3: Scatter-plots & Line-graphs chapter,https://campus.datacamp.com/courses/effective-data-storytelling-using-the-tidyverse/scatter-plots-line-graphs?ex=1,PS3,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps3
Thursday,February,23,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html#geombar'>Barplots (Section 4.8)</a>,DC4: Histograms & Boxplots chapter,https://campus.datacamp.com/courses/effective-data-storytelling-using-the-tidyverse/histograms-boxplots?ex=1,-,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps4
Tuesday,February,28,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html#conclusion'>Review Chapter 4 (Section 4.9)</a>,DC5: Barplots chapter,https://campus.datacamp.com/courses/effective-data-storytelling-using-the-tidyverse/barplots?ex=1,"PS4, PS5",http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps5
Thursday,March,2,"Quiz 2, <a href= 'https://ismayc.github.io/soc301_s2017/group_project_outline/index.html'>Begin Group Project </a>, Talk about RStudio",DC6: ggplot2 Review chapter,https://campus.datacamp.com/courses/effective-data-storytelling-using-the-tidyverse/ggplot2-review?ex=1,-,
